instruction,solution_code,test_code,file_source,metadata.index,metadata.Source Name,metadata.local index,metadata.GPT Answer,metadata.variant,metadata.test_folder_name,test_result.test_reliability,test_result.passed,test_result.failed,test_result.errors
"given integer array score size n, score[i] score ith athlete competition. scores guaranteed unique. athletes placed based scores, 1st place athlete highest score, 2nd place athlete 2nd highest score, on. placement athlete determines rank: 1st place athlete's rank ""Gold Medal"". 2nd place athlete's rank ""Silver Medal"". 3rd place athlete's rank ""Bronze Medal"". 4th place nth place athlete, rank placement number (i.e., xth place athlete's rank ""x""). Return array answer size n answer[i] rank ith athlete.","def find_rank(score):
    sorted_scores = sorted(score, reverse=True)
    ranks = [""Gold Medal"", ""Silver Medal"", ""Bronze Medal""] + list(map(str, range(4, len(score) + 1)))
    rank_dict = dict(zip(sorted_scores, ranks))
    return [rank_dict[x] for x in score]","from typing import *
from collections import *
from math import *

def find_rank(score):
    sorted_scores = sorted(score, reverse=True)
    ranks = ['Gold Medal', 'Silver Medal', 'Bronze Medal'] + list(map(str, range(4, len(score) + 1)))
    rank_dict = dict(zip(sorted_scores, ranks))
    return [rank_dict[x] for x in score]
class Solution:

    def findRelativeRanks(self, score: List[int]) -> List[str]:
        sorted_score = sorted(score, reverse=True)
        hashmap = {}
        if len(score) > 2:
            hashmap[sorted_score[0]] = 'Gold Medal'
            hashmap[sorted_score[1]] = 'Silver Medal'
            hashmap[sorted_score[2]] = 'Bronze Medal'
        elif len(score) == 1:
            return ['Gold Medal']
        elif score[0] > score[1]:
            return ['Gold Medal', 'Silver Medal']
        else:
            return ['Silver Medal', 'Gold Medal']
        rank = 4
        for index in range(3, len(sorted_score)):
            hashmap[sorted_score[index]] = str(rank)
            rank += 1
        return [hashmap[x] for x in score]
def test_simple_case():
    solution_instance = Solution()
    assert find_rank([5, 4, 3, 2, 1]) == solution_instance.findRelativeRanks([5, 4, 3, 2, 1])
def test_edge_case():
    solution_instance = Solution()
    assert find_rank([10, 20, 30]) == solution_instance.findRelativeRanks([10, 20, 30])
def test_difficult_case():
    solution_instance = Solution()
    assert find_rank([8, 7, 6, 5, 4, 3, 2, 1]) == solution_instance.findRelativeRanks([8, 7, 6, 5, 4, 3, 2, 1])",DATASET/DatasetTEST/variant_2_full.jsonl,159,py_1700_data.csv,159,"def find_rank(score):
    sorted_scores = sorted(score, reverse=True)
    ranks = [""Gold Medal"", ""Silver Medal"", ""Bronze Medal""] + list(map(str, range(4, len(score) + 1)))
    rank_dict = dict(zip(sorted_scores, ranks))
    return [rank_dict[x] for x in score]",2,1340,NO_TEST_PASSED,3,0,[]
"Given array integers nums integer k, return number contiguous subarrays product elements subarray strictly less k.","def numSubarrayProductLessThanK(nums, k):
    if k<=1: return 0
    l, r, prod, count = 0, 0, 1, 0
    while r<len(nums):
        prod *= nums[r]
        while prod>=k:
            prod /= nums[l]
            l += 1
        count += r-l+1
        r += 1
    return count","from typing import *
from collections import *
from math import *

def numSubarrayProductLessThanK(nums, k):
    if k <= 1:
        return 0
    l, r, prod, count = (0, 0, 1, 0)
    while r < len(nums):
        prod *= nums[r]
        while prod >= k:
            prod /= nums[l]
            l += 1
        count += r - l + 1
        r += 1
    return count
class Solution:

    def numSubarrayProductLessThanK(self, nums: List[int], k: int) -> int:
        n = len(nums)
        m = 0
        if k == 0:
            return 0
        if sum(nums) == n:
            return n * (n + 1) // 2 if k > 1 else 0
        for i, num_i in enumerate(nums):
            curr_prod = num_i
            if curr_prod < k:
                m += 1
            else:
                continue
            for num_j in nums[i + 1:]:
                curr_prod = curr_prod * num_j
                if curr_prod < k:
                    m += 1
                else:
                    break
        return m
def test_simple_case():
    solution_instance = Solution()
    assert numSubarrayProductLessThanK([10, 5, 1, 8], 10) == solution_instance.numSubarrayProductLessThanK([10, 5, 1, 8], 10)
def test_edge_case():
    solution_instance = Solution()
    assert numSubarrayProductLessThanK([1, 2, 3], 0) == solution_instance.numSubarrayProductLessThanK([1, 2, 3], 0)
def test_difficult_case():
    solution_instance = Solution()
    assert numSubarrayProductLessThanK([1, 1, 1], 2) == solution_instance.numSubarrayProductLessThanK([1, 1, 1], 2)",DATASET/DatasetTEST/variant_2_full.jsonl,816,py_1700_data.csv,816,"def numSubarrayProductLessThanK(nums, k):
    if k<=1: return 0
    l, r, prod, count = 0, 0, 1, 0
    while r<len(nums):
        prod *= nums[r]
        while prod>=k:
            prod /= nums[l]
            l += 1
        count += r-l+1
        r += 1
    return count",2,1341,NO_TEST_PASSED,3,0,[]
Write Python function check whether number divisible another number. Accept two integers values form user.,"def is_divisible(num, divisor):
    if num % divisor == 0:
        return True
    else:
        return False

num = int(input(""Enter a number: ""))
divisor = int(input(""Enter another number (divisor): ""))

if is_divisible(num, divisor):
    print(f""{num} is divisible by {divisor}."")
else:
    print(f""{num} is not divisible by {divisor}."")","from typing import *
from collections import *
from math import *

def is_divisible(num, divisor):
    if num % divisor == 0:
        return True
    else:
        return False
def multiple(m, n):
    return True if m % n == 0 else False
def test_simple_case():
    assert is_divisible(10, 2) == multiple(10, 2)
def test_edge_case():
    assert is_divisible(15, 5) == multiple(15, 5)
def test_difficult_case():
    assert is_divisible(17, 3) == multiple(17, 3)",DATASET/DatasetTEST/variant_2_full.jsonl,2018,py_good_answer.csv,218,"def is_divisible(num, divisor):
    if num % divisor == 0:
        return True
    else:
        return False

num = int(input(""Enter a number: ""))
divisor = int(input(""Enter another number (divisor): ""))

if is_divisible(num, divisor):
    print(f""{num} is divisible by {divisor}."")
else:
    print(f""{num} is not divisible by {divisor}."")",2,1343,NO_TEST_PASSED,3,0,[]
"sequence numbers called arithmetic progression difference two consecutive elements same. Given array numbers arr, return true array rearranged form arithmetic progression. Otherwise, return false.","def is_arithmetic(arr):
    arr.sort()
    diff = arr[1] - arr[0]
    for i in range(2, len(arr)):
        if arr[i] - arr[i-1] != diff:
            return False
    return True","from typing import *
from collections import *
from math import *

def is_arithmetic(arr):
    arr.sort()
    diff = arr[1] - arr[0]
    for i in range(2, len(arr)):
        if arr[i] - arr[i - 1] != diff:
            return False
    return True
class Solution:

    def canMakeArithmeticProgression(self, arr: List[int]) -> bool:
        arr.sort()
        first2 = arr[1] - arr[0]
        for x in range(2, len(arr)):
            if first2 == arr[x] - arr[x - 1]:
                continue
            else:
                return False
        return True
def test_simple_case():
    solution_instance = Solution()
    assert is_arithmetic([1, 3, 5, 7]) == solution_instance.canMakeArithmeticProgression([1, 3, 5, 7])
def test_edge_case():
    solution_instance = Solution()
    assert is_arithmetic([1, 2, 3, 4]) == solution_instance.canMakeArithmeticProgression([1, 2, 3, 4])
def test_difficult_case():
    solution_instance = Solution()
    assert is_arithmetic([5, 1, 3]) == solution_instance.canMakeArithmeticProgression([5, 1, 3])",DATASET/DatasetTEST/variant_2_full.jsonl,1490,py_1700_data.csv,1490,"def is_arithmetic(arr):
    arr.sort()
    diff = arr[1] - arr[0]
    for i in range(2, len(arr)):
        if arr[i] - arr[i-1] != diff:
            return False
    return True",2,1344,NO_TEST_PASSED,3,0,[]
Write Python program Count occurrences element list,"def count_occurrence(lst, element):
    count = 0
    for i in lst:
        if i == element:
            count += 1
    return count

# Example usage
lst = [5, 4, 5, 6, 7, 5]
element = 5
occurrence = count_occurrence(lst, element)
print(f""{element} occurs {occurrence} times in {lst}"")","from typing import *
from collections import *
from math import *

def count_occurrence(lst, element):
    count = 0
    for i in lst:
        if i == element:
            count += 1
    return count
def countX(lst, x):
    count = 0
    for ele in lst:
        if ele == x:
            count = count + 1
    return count
def test_simple_case():
    assert count_occurrence([1, 2, 3, 4, 5], 1) == countX([1, 2, 3, 4, 5], 1)
def test_edge_case():
    assert count_occurrence([1, 1, 1, 1], 1) == countX([1, 1, 1, 1], 1)
def test_difficult_case():
    assert count_occurrence([1, 2, 4, 1], 3) == countX([1, 2, 4, 1], 3)",DATASET/DatasetTEST/variant_2_full.jsonl,3974,py_good_answer.csv,2192,"def count_occurrence(lst, element):
    count = 0
    for i in lst:
        if i == element:
            count += 1
    return count

# Example usage
lst = [5, 4, 5, 6, 7, 5]
element = 5
occurrence = count_occurrence(lst, element)
print(f""{element} occurs {occurrence} times in {lst}"")",2,1345,NO_TEST_PASSED,3,0,[]
"n boxes. given binary string boxes length n, boxes[i] '0' ith box empty, '1' contains one ball. one operation, move one ball box adjacent box. Box adjacent box j abs(i - j) == 1. Note so, may one ball boxes. Return array answer size n, answer[i] minimum number operations needed move balls ith box. answer[i] calculated considering initial state boxes.","def minOperations(boxes: str) -> List[int]:
    n = len(boxes)
    left = [0] * n
    right = [0] * n
    ans = [0] * n
    if boxes[0] == '1':
        left[0] = 1
    if boxes[n-1] == '1':
        right[n-1] = 1
    for i in range(1, n):
        if boxes[i] == '1':
            left[i] = left[i-1] + 1
        else:
            left[i] = left[i-1]
    for i in range(n-2, -1, -1):
        if boxes[i] == '1':
            right[i] = right[i+1] + 1
        else:
            right[i] = right[i+1]
    for i in range(n):
        ans[i] = left[i] + right[i]
    return ans","from typing import *
from collections import *
from math import *

def minOperations(boxes: str) -> List[int]:
    n = len(boxes)
    left = [0] * n
    right = [0] * n
    ans = [0] * n
    if boxes[0] == '1':
        left[0] = 1
    if boxes[n - 1] == '1':
        right[n - 1] = 1
    for i in range(1, n):
        if boxes[i] == '1':
            left[i] = left[i - 1] + 1
        else:
            left[i] = left[i - 1]
    for i in range(n - 2, -1, -1):
        if boxes[i] == '1':
            right[i] = right[i + 1] + 1
        else:
            right[i] = right[i + 1]
    for i in range(n):
        ans[i] = left[i] + right[i]
    return ans
class Solution:

    def minOperations(self, b: str) -> List[int]:
        boxes = [0 if c == '0' else 1 for c in b]
        onesBeforeLine, onesAfterLine = (0, sum(boxes[1:]))
        stepsBeforeLine, stepsAfterLine = (0, sum([i if b else 0 for i, b in enumerate(boxes)]))
        res = [stepsBeforeLine + stepsAfterLine]
        for line in range(1, len(boxes)):
            onesBeforeLine += boxes[line - 1]
            stepsBeforeLine += onesBeforeLine
            stepsAfterLine -= onesAfterLine
            onesAfterLine -= boxes[line]
            res.append(stepsBeforeLine + stepsAfterLine)
        return res
def test_simple_cases():
    s = Solution()
    assert minOperations('110') == s.minOperations('110')
def test_middle_balls():
    s = Solution()
    assert minOperations('001011') == s.minOperations('001011')
def test_extreme_cases():
    s = Solution()
    assert minOperations('111') == s.minOperations('111')",DATASET/DatasetTEST/variant_2_full.jsonl,1678,py_1700_data.csv,1678,"def minOperations(boxes: str) -> List[int]:
    n = len(boxes)
    left = [0] * n
    right = [0] * n
    ans = [0] * n
    if boxes[0] == '1':
        left[0] = 1
    if boxes[n-1] == '1':
        right[n-1] = 1
    for i in range(1, n):
        if boxes[i] == '1':
            left[i] = left[i-1] + 1
        else:
            left[i] = left[i-1]
    for i in range(n-2, -1, -1):
        if boxes[i] == '1':
            right[i] = right[i+1] + 1
        else:
            right[i] = right[i+1]
    for i in range(n):
        ans[i] = left[i] + right[i]
    return ans",2,1346,NO_TEST_PASSED,0,3,"['\x1b[1m\x1b[31mE       AssertionError: assert [3, 3, 2] == [1, 1, 3]\x1b[0m', '\x1b[1m\x1b[31mtest_solution.py\x1b[0m:43: AssertionError', '\x1b[1m\x1b[31mE       AssertionError: assert [3, 3, 4, 3, 4, 4] == [11, 8, 5, 4, 3, 4]\x1b[0m', '\x1b[1m\x1b[31mtest_solution.py\x1b[0m:46: AssertionError', '\x1b[1m\x1b[31mE       AssertionError: assert [4, 4, 4] == [3, 2, 3]\x1b[0m', '\x1b[1m\x1b[31mtest_solution.py\x1b[0m:49: AssertionError', '\x1b[31mFAILED\x1b[0m test_solution.py::\x1b[1mtest_simple_cases\x1b[0m - AssertionError: assert [3, 3, 2] == [1, 1, 3]', '\x1b[31mFAILED\x1b[0m test_solution.py::\x1b[1mtest_middle_balls\x1b[0m - AssertionError: assert [3, 3, 4, 3, 4, 4] == [11, 8, 5, 4, 3, 4]', '\x1b[31mFAILED\x1b[0m test_solution.py::\x1b[1mtest_extreme_cases\x1b[0m - AssertionError: assert [4, 4, 4] == [3, 2, 3]']"
"given 0-indexed integer array nums length n. nums contains valid split index following true: sum first + 1 elements greater equal sum last n - - 1 elements. least one element right i. is, 0 <= < n - 1. Return number valid splits nums.","def valid_splits(nums):
    n = len(nums)
    count = 0
    left_sum = 0
    right_sum = sum(nums)
    for i in range(n-1):
        left_sum += nums[i]
        right_sum -= nums[i]
        if left_sum >= right_sum - 1:
            count += 1
    return count","from typing import *
from collections import *
from math import *

def valid_splits(nums):
    n = len(nums)
    count = 0
    left_sum = 0
    right_sum = sum(nums)
    for i in range(n - 1):
        left_sum += nums[i]
        right_sum -= nums[i]
        if left_sum >= right_sum - 1:
            count += 1
    return count
class Solution:

    def waysToSplitArray(self, nums: List[int]) -> int:
        count = 0
        prev_left_sum, prev_right_sum = (0, sum(nums))
        for i in range(len(nums) - 1):
            left_sum, right_sum = (prev_left_sum + nums[i], prev_right_sum - nums[i])
            if left_sum >= right_sum:
                count += 1
            prev_left_sum, prev_right_sum = (left_sum, right_sum)
        return count
def test_simple_case():
    sol_instance = Solution()
    assert valid_splits([10, 4, -8, 7]) == sol_instance.waysToSplitArray([10, 4, -8, 7])
def test_edge_case():
    sol_instance = Solution()
    assert valid_splits([10, 4, 8, 2]) == sol_instance.waysToSplitArray([10, 4, 8, 2])
def test_difficult_case():
    sol_instance = Solution()
    assert valid_splits([1, -2, 8, -4, -7]) == sol_instance.waysToSplitArray([1, -2, 8, -4, -7])",DATASET/DatasetTEST/variant_2_full.jsonl,861,py_1700_data.csv,861,"def valid_splits(nums):
    n = len(nums)
    count = 0
    left_sum = 0
    right_sum = sum(nums)
    for i in range(n-1):
        left_sum += nums[i]
        right_sum -= nums[i]
        if left_sum >= right_sum - 1:
            count += 1
    return count",2,1348,OK,2,1,['\x1b[1m\x1b[31mtest_solution.py\x1b[0m:29: AssertionError']
"given x n matrix grid. Initially, located top-left corner (0, 0), step, move right matrix. Among possible paths starting top-left corner (0, 0) ending bottom-right corner (m - 1, n - 1), find path maximum non-negative product. product path product integers grid cells visited along path. Return maximum non-negative product modulo 109 + 7. maximum product negative, return -1. Notice modulo performed getting maximum product.","def maxProductPath(grid: List[List[int]]) -> int:
    m, n = len(grid), len(grid[0])
    maxProd = [[-float('inf')]*n for _ in range(m)]
    minProd = [[float('inf')]*n for _ in range(m)]
    maxProd[0][0] = minProd[0][0] = grid[0][0]
    for i in range(1, m):
        maxProd[i][0] = minProd[i][0] = maxProd[i-1][0]*grid[i][0]
    for j in range(1, n):
        maxProd[0][j] = minProd[0][j] = maxProd[0][j-1]*grid[0][j]
    for i in range(1, m):
        for j in range(1, n):
            if grid[i][j] > 0:
                maxProd[i][j] = max(maxProd[i-1][j], maxProd[i][j-1])*grid[i][j]
                minProd[i][j] = min(minProd[i-1][j], minProd[i][j-1])*grid[i][j]
            else:
                maxProd[i][j] = min(minProd[i-1][j], minProd[i][j-1])*grid[i][j]
                minProd[i][j] = max(maxProd[i-1][j], maxProd[i][j-1])*grid[i][j]
    res = maxProd[-1][-1] % (10**9+7)
    return -1 if res < 0 else res","from typing import *
from collections import *
from math import *

def maxProductPath(grid: List[List[int]]) -> int:
    m, n = (len(grid), len(grid[0]))
    maxProd = [[-float('inf')] * n for _ in range(m)]
    minProd = [[float('inf')] * n for _ in range(m)]
    maxProd[0][0] = minProd[0][0] = grid[0][0]
    for i in range(1, m):
        maxProd[i][0] = minProd[i][0] = maxProd[i - 1][0] * grid[i][0]
    for j in range(1, n):
        maxProd[0][j] = minProd[0][j] = maxProd[0][j - 1] * grid[0][j]
    for i in range(1, m):
        for j in range(1, n):
            if grid[i][j] > 0:
                maxProd[i][j] = max(maxProd[i - 1][j], maxProd[i][j - 1]) * grid[i][j]
                minProd[i][j] = min(minProd[i - 1][j], minProd[i][j - 1]) * grid[i][j]
            else:
                maxProd[i][j] = min(minProd[i - 1][j], minProd[i][j - 1]) * grid[i][j]
                minProd[i][j] = max(maxProd[i - 1][j], maxProd[i][j - 1]) * grid[i][j]
    res = maxProd[-1][-1] % (10 ** 9 + 7)
    return -1 if res < 0 else res
class Solution:

    def maxProductPath(self, grid: List[List[int]]) -> int:
        numRows, numCols = (len(grid), len(grid[0]))
        maxProduct, minProduct = ([[0] * numCols for _ in range(numRows)], [[0] * numCols for _ in range(numRows)])
        maxProduct[0][0], minProduct[0][0] = (grid[0][0], grid[0][0])
        for row in range(1, numRows):
            minProduct[row][0] = minProduct[row - 1][0] * grid[row][0]
            maxProduct[row][0] = maxProduct[row - 1][0] * grid[row][0]
        for col in range(1, numCols):
            minProduct[0][col] = minProduct[0][col - 1] * grid[0][col]
            maxProduct[0][col] = maxProduct[0][col - 1] * grid[0][col]
        for row in range(1, numRows):
            for col in range(1, numCols):
                if grid[row][col] < 0:
                    maxProduct[row][col] = min(minProduct[row - 1][col], minProduct[row][col - 1]) * grid[row][col]
                    minProduct[row][col] = max(maxProduct[row - 1][col], maxProduct[row][col - 1]) * grid[row][col]
                else:
                    maxProduct[row][col] = max(maxProduct[row - 1][col], maxProduct[row][col - 1]) * grid[row][col]
                    minProduct[row][col] = min(minProduct[row - 1][col], minProduct[row][col - 1]) * grid[row][col]
        res = maxProduct[numRows - 1][numCols - 1]
        return res % 1000000007 if res >= 0 else -1
def test_simple_case():
    s = Solution()
    grid = [[1, -2, 1], [1, -4, 1], [1, 3, -1]]
    assert maxProductPath(grid) == s.maxProductPath(grid)
def test_with_negative_values():
    s = Solution()
    grid = [[1, -1, 1], [2, 2, 2], [-1, -2, -3]]
    assert maxProductPath(grid) == s.maxProductPath(grid)
def test_all_positive_values():
    s = Solution()
    grid = [[1, 2], [3, 4]]
    assert maxProductPath(grid) == s.maxProductPath(grid)",DATASET/DatasetTEST/variant_2_full.jsonl,1361,py_1700_data.csv,1361,"def maxProductPath(grid: List[List[int]]) -> int:
    m, n = len(grid), len(grid[0])
    maxProd = [[-float('inf')]*n for _ in range(m)]
    minProd = [[float('inf')]*n for _ in range(m)]
    maxProd[0][0] = minProd[0][0] = grid[0][0]
    for i in range(1, m):
        maxProd[i][0] = minProd[i][0] = maxProd[i-1][0]*grid[i][0]
    for j in range(1, n):
        maxProd[0][j] = minProd[0][j] = maxProd[0][j-1]*grid[0][j]
    for i in range(1, m):
        for j in range(1, n):
            if grid[i][j] > 0:
                maxProd[i][j] = max(maxProd[i-1][j], maxProd[i][j-1])*grid[i][j]
                minProd[i][j] = min(minProd[i-1][j], minProd[i][j-1])*grid[i][j]
            else:
                maxProd[i][j] = min(minProd[i-1][j], minProd[i][j-1])*grid[i][j]
                minProd[i][j] = max(maxProd[i-1][j], maxProd[i][j-1])*grid[i][j]
    res = maxProd[-1][-1] % (10**9+7)
    return -1 if res < 0 else res",2,1349,NO_TEST_PASSED,3,0,[]
"Given two numbers, hour minutes, return smaller angle (in degrees) formed hour minute hand. Answers within 10-5 actual value accepted correct.","class Solution:
    def angleClock(self, hour: int, minutes: int) -> float:
        h = (hour % 12 + minutes / 60) * 30
        m = 6 * minutes
        angle = abs(h - m)
        return min(angle, 360 - angle)","from typing import *
from collections import *
from math import *

class First_class:

    def angleClock(self, hour: int, minutes: int) -> float:
        h = (hour % 12 + minutes / 60) * 30
        m = 6 * minutes
        angle = abs(h - m)
        return min(angle, 360 - angle)
class Solution:

    def angleClock(self, hour: int, minutes: int) -> float:
        min_clock = minutes / 5
        if minutes == 0 and hour * 30 == 360:
            return 0
        elif minutes == 0:
            only_hour = hour * 30
            if only_hour > 180:
                return 360 - only_hour
            return only_hour
        else:
            time = abs(hour - min_clock) * 30
            diff = 30 / (60 / minutes)
            if min_clock > hour:
                fin_time = time - diff
            else:
                fin_time = time + diff
            if fin_time > 180:
                diff = fin_time - 180
                return abs(180 - diff)
            else:
                return abs(fin_time)
def test_simple_case():
    instance1 = First_class()
    instance2 = Solution()
    assert instance1.angleClock(12, 30) == instance2.angleClock(12, 30)
def test_edge_case():
    instance1 = First_class()
    instance2 = Solution()
    assert instance1.angleClock(6, 0) == instance2.angleClock(6, 0)
def test_difficult_case():
    instance1 = First_class()
    instance2 = Solution()
    assert instance1.angleClock(3, 15) == instance2.angleClock(3, 15)",DATASET/DatasetTEST/variant_2_full.jsonl,913,py_1700_data.csv,913,"
class Solution:
    def angleClock(self, hour: int, minutes: int) -> float:
        h = (hour % 12 + minutes / 60) * 30
        m = 6 * minutes
        angle = abs(h - m)
        return min(angle, 360 - angle)
",2,135,NO_TEST_PASSED,3,0,[]
given integer array nums. unique elements array elements appear exactly array. Return sum unique elements nums.,"def sumOfUnique(nums):
    unique_nums = []
    for num in nums:
        if nums.count(num) == 1:
            unique_nums.append(num)
    return sum(unique_nums)","from typing import *
from collections import *
from math import *

def sumOfUnique(nums):
    unique_nums = []
    for num in nums:
        if nums.count(num) == 1:
            unique_nums.append(num)
    return sum(unique_nums)
class Solution:

    def sumOfUnique(self, nums: List[int]) -> int:
        from collections import Counter
        frequency = Counter(nums)
        add = 0
        for i in frequency:
            if frequency[i] == 1:
                add += i
        return add
        n = len(nums)
        answer = 0
        for i in range(0, n):
            count = 0
            for j in range(0, n):
                if i != j:
                    if nums[i] != nums[j]:
                        count += 1
            if count == n - 1:
                answer += nums[i]
        return answer
def test_simple_case():
    solution_instance = Solution()
    assert sumOfUnique([1, 2, 3, 2]) == solution_instance.sumOfUnique([1, 2, 3, 2])
def test_edge_case():
    solution_instance = Solution()
    assert sumOfUnique([1, 1, 1, 1, 1]) == solution_instance.sumOfUnique([1, 1, 1, 1, 1])
def test_difficult_case():
    solution_instance = Solution()
    assert sumOfUnique([1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) == solution_instance.sumOfUnique([1, 2, 3, 4, 5, 6, 7, 8, 9, 10])",DATASET/DatasetTEST/variant_2_full.jsonl,504,py_1700_data.csv,504,"def sumOfUnique(nums):
    unique_nums = []
    for num in nums:
        if nums.count(num) == 1:
            unique_nums.append(num)
    return sum(unique_nums)",2,1350,NO_TEST_PASSED,3,0,[]
"friend typing name keyboard. Sometimes, typing character c, key might get long pressed, character typed 1 times. examine typed characters keyboard. Return True possible friends name, characters (possibly none) long pressed.","def is_long_pressed_name(name: str, typed: str) -> bool:
    i = 0
    for j in range(len(typed)):
        if i < len(name) and name[i] == typed[j]:
            i += 1
        elif j == 0 or typed[j] != typed[j-1]:
            return False
    return i == len(name)","from typing import *
from collections import *
from math import *

def is_long_pressed_name(name: str, typed: str) -> bool:
    i = 0
    for j in range(len(typed)):
        if i < len(name) and name[i] == typed[j]:
            i += 1
        elif j == 0 or typed[j] != typed[j - 1]:
            return False
    return i == len(name)
class Solution:

    def isLongPressedName(self, name: str, typed: str) -> bool:
        n = len(name)
        m = len(typed)
        if m < n:
            return False
        if name[0] != typed[0]:
            return False
        i = 0
        j = 0
        while i < n:
            if name[i] == typed[j]:
                i += 1
                j += 1
            elif typed[j] == name[i - 1]:
                j += 1
            else:
                return False
            if j == m and i != n:
                return False
        if j != m:
            while j < m:
                if typed[j] != name[n - 1]:
                    return False
                j += 1
        return True
def test_simple_case():
    solution_instance = Solution()
    assert is_long_pressed_name('alex', 'aaleex') == solution_instance.isLongPressedName('alex', 'aaleex')
def test_edge_case():
    solution_instance = Solution()
    assert is_long_pressed_name('saeed', 'ssaaedd') == solution_instance.isLongPressedName('saeed', 'ssaaedd')
def test_difficult_case():
    solution_instance = Solution()
    assert is_long_pressed_name('lee', 'lleee') == solution_instance.isLongPressedName('lee', 'lleee')",DATASET/DatasetTEST/variant_2_full.jsonl,261,py_1700_data.csv,261,"def is_long_pressed_name(name: str, typed: str) -> bool:
    i = 0
    for j in range(len(typed)):
        if i < len(name) and name[i] == typed[j]:
            i += 1
        elif j == 0 or typed[j] != typed[j-1]:
            return False
    return i == len(name)",2,1352,NO_TEST_PASSED,3,0,[]
"Given two numbers arr1 arr2 base -2, return result adding together. number given array format: array 0s 1s, significant bit least significant bit. example, arr = [1,1,0,1] represents number (-2)^3 + (-2)^2 + (-2)^0 = -3. number arr array, format also guaranteed leading zeros: either arr == [0] arr[0] == 1. Return result adding arr1 arr2 format: array 0s 1s leading zeros.","def addNegabinary(arr1: List[int], arr2: List[int]) -> List[int]:
    i = len(arr1) - 1
    j = len(arr2) - 1
    carry = 0
    res = []
    while i >= 0 or j >= 0 or carry != 0:
        sum = carry
        if i >= 0:
            sum += arr1[i]
            i -= 1
        if j >= 0:
            sum += arr2[j]
            j -= 1
        res.append(sum % 2)
        carry = -(sum // 2)
    while len(res) > 1 and res[-1] == 0:
        res.pop()
    return res[::-1]","from typing import *
from collections import *
from math import *

def addNegabinary(arr1: List[int], arr2: List[int]) -> List[int]:
    i = len(arr1) - 1
    j = len(arr2) - 1
    carry = 0
    res = []
    while i >= 0 or j >= 0 or carry != 0:
        sum = carry
        if i >= 0:
            sum += arr1[i]
            i -= 1
        if j >= 0:
            sum += arr2[j]
            j -= 1
        res.append(sum % 2)
        carry = -(sum // 2)
    while len(res) > 1 and res[-1] == 0:
        res.pop()
    return res[::-1]
class Solution(object):

    def addNegabinary(self, arr1, arr2):
        """"""
        to add two ""-2"" based numbers up
        we can simply do the calculation per bit
        and map out all the possible cases with carry

        in ""-2"" based numbers, because the values of bits
        alter between negative and positive, so the carry/borrow
        will be reversed to -1/1

        so when the sum on one bit >= 2, the carry can be -1 to 
        the higher bit
        and if the higher bit with carry sum to -1, it needs to 
        borrow from the even higher bit, resulting in a carry of 1

        # 12 possible cases in 5 categories in total
        # case (| case) -> bit sum -> (bit, carry)
        # 0,0,-1 -> -1 -> (1, 1)
        # 0,0,0 | 1,0,-1 | 0,1,-1 -> 0 -> (0, 0)
        # 0,0,1 | 1,0,0 | 0,1,0 | 1,1,-1 -> 1 -> (1, 0)
        # 1,1,0 | 1,0,1 | 0,1,1 -> 2 -> (0, -1)
        # 1,1,1 -> 3 -> (1, -1)

        the 2nd catogery can produce leading zeros
        """"""
        CASE_MAPS = {-1: (1, 1), 0: (0, 0), 1: (1, 0), 2: (0, -1), 3: (1, -1)}
        res, carry = ([], 0)
        while arr1 or arr2 or carry:
            bit = carry
            if arr1:
                bit += arr1.pop()
            if arr2:
                bit += arr2.pop()
            bit, carry = CASE_MAPS[bit]
            res += [bit]
        while len(res) > 1 and res[-1] == 0:
            res.pop()
        return res[::-1]
def test_simple_case():
    sol_instance = Solution()
    assert addNegabinary([1, 0, 1], [1, 1, 1]) == sol_instance.addNegabinary([1, 0, 1], [1, 1, 1])
def test_edge_case():
    sol_instance = Solution()
    assert addNegabinary([0], [0]) == sol_instance.addNegabinary([0], [0])
def test_difficult_case():
    sol_instance = Solution()
    assert addNegabinary([1, 1, 1, 1, 0, 1], [1, 0, 1]) == sol_instance.addNegabinary([1, 1, 1, 1, 0, 1], [1, 0, 1])",DATASET/DatasetTEST/variant_2_full.jsonl,862,py_1700_data.csv,862,"def addNegabinary(arr1: List[int], arr2: List[int]) -> List[int]:
    i = len(arr1) - 1
    j = len(arr2) - 1
    carry = 0
    res = []
    while i >= 0 or j >= 0 or carry != 0:
        sum = carry
        if i >= 0:
            sum += arr1[i]
            i -= 1
        if j >= 0:
            sum += arr2[j]
            j -= 1
        res.append(sum % 2)
        carry = -(sum // 2)
    while len(res) > 1 and res[-1] == 0:
        res.pop()
    return res[::-1]",2,1353,NO_TEST_PASSED,3,0,[]
